Mole fraction of liquid	Heat per mole [J]	Temperature [K]	Apparent heat capacity per mole [J/K]	Latent heat per mole [J]
1.00000	1.37154E5	3180.30886	57.92241	0.00000
0.99997	1.37149E5	3180.21324	57.92241	-1.09366
0.99506	1.36899E5	3179.21324	250.18886	-194.93841
0.99017	1.36650E5	3178.21324	248.70140	-387.36233
0.98532	1.36403E5	3177.21324	247.22735	-578.37837
0.98051	1.36157E5	3176.21324	245.76656	-767.99937
0.97572	1.35913E5	3175.21324	244.31890	-956.23802
0.97097	1.35670E5	3174.21324	242.88420	-1143.10685
0.96625	1.35428E5	3173.21324	241.46235	-1328.61829
0.96156	1.35188E5	3172.21324	240.05318	-1512.78461
0.95690	1.34950E5	3171.21324	238.65658	-1695.61794
0.95227	1.34712E5	3170.21324	237.27240	-1877.13030
0.94768	1.34477E5	3169.21324	235.90051	-2057.33357
0.94311	1.34242E5	3168.21324	234.54078	-2236.23951
0.93858	1.34009E5	3167.21324	233.19308	-2413.85973
0.93407	1.33777E5	3166.21324	231.85727	-2590.20574
0.92960	1.33546E5	3165.21324	230.53323	-2765.28891
0.92515	1.33317E5	3164.21324	229.22084	-2939.12050
0.92074	1.33089E5	3163.21324	227.91998	-3111.71164
0.91635	1.32863E5	3162.21324	226.63051	-3283.07335
0.91199	1.32637E5	3161.21324	225.35232	-3453.21652
0.90766	1.32413E5	3160.21324	224.08528	-3622.15194
0.90336	1.32190E5	3159.21324	222.82929	-3789.89028
0.89908	1.31969E5	3158.21324	221.58423	-3956.44208
0.89484	1.31748E5	3157.21324	220.34997	-4121.81779
0.89062	1.31529E5	3156.21324	219.12641	-4286.02774
0.88643	1.31311E5	3155.21324	217.91343	-4449.08215
0.88226	1.31095E5	3154.21324	216.71092	-4610.99114
0.87813	1.30879E5	3153.21324	215.51878	-4771.76472
0.87402	1.30665E5	3152.21324	214.33690	-4931.41279
0.86993	1.30452E5	3151.21324	213.16516	-5089.94515
0.86587	1.30240E5	3150.21324	212.00346	-5247.37149
0.86184	1.30029E5	3149.21324	210.85170	-5403.70142
