Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.22397E5	2947.23741
0.99998	1.22392E5	2947.14179
0.99669	1.22226E5	2946.14179
0.99341	1.22061E5	2945.14179
0.99014	1.21896E5	2944.14179
0.98689	1.21732E5	2943.14179
0.98365	1.21569E5	2942.14179
0.98043	1.21406E5	2941.14179
0.97722	1.21244E5	2940.14179
0.97403	1.21082E5	2939.14179
0.97085	1.20921E5	2938.14179
0.96768	1.20760E5	2937.14179
0.96453	1.20600E5	2936.14179
0.96140	1.20441E5	2935.14179
0.95827	1.20282E5	2934.14179
0.95516	1.20124E5	2933.14179
0.95207	1.19966E5	2932.14179
0.94899	1.19809E5	2931.14179
0.94592	1.19653E5	2930.14179
0.94286	1.19497E5	2929.14179
0.93982	1.19341E5	2928.14179
0.93679	1.19187E5	2927.14179
0.93378	1.19032E5	2926.14179
0.93077	1.18879E5	2925.14179
0.92778	1.18725E5	2924.14179
0.92481	1.18573E5	2923.14179
0.92185	1.18421E5	2922.14179
0.91890	1.18269E5	2921.14179
0.91596	1.18118E5	2920.14179
0.91303	1.17967E5	2919.14179
0.91012	1.17817E5	2918.14179
0.90722	1.17668E5	2917.14179
0.90433	1.17519E5	2916.14179
0.90146	1.17370E5	2915.14179
0.89860	1.17223E5	2914.14179
0.89575	1.17075E5	2913.14179
0.89291	1.16928E5	2912.14179
0.89008	1.16782E5	2911.14179
0.88727	1.16636E5	2910.14179
0.88447	1.16490E5	2909.14179
0.88168	1.16345E5	2908.14179
0.87890	1.16201E5	2907.14179
0.87614	1.16057E5	2906.14179
0.87338	1.15914E5	2905.14179
0.87064	1.15771E5	2904.14179
0.86791	1.15628E5	2903.14179
0.86519	1.15486E5	2902.14179
0.86248	1.15344E5	2901.14179
0.85979	1.15203E5	2900.14179
0.85710	1.15063E5	2899.14179
0.85443	1.14923E5	2898.14179
0.85176	1.14783E5	2897.14179
0.84911	1.14644E5	2896.14179
0.84647	1.14505E5	2895.14179
0.84384	1.14367E5	2894.14179
0.84123	1.14229E5	2893.14179
0.83862	1.14091E5	2892.14179
0.83602	1.13954E5	2891.14179
0.83344	1.13818E5	2890.14179
0.83086	1.13682E5	2889.14179
0.82830	1.13546E5	2888.14179
0.82574	1.13411E5	2887.14179
0.82320	1.13276E5	2886.14179
0.82067	1.13142E5	2885.14179
0.81815	1.13008E5	2884.14179
0.81563	1.12874E5	2883.14179
0.81313	1.12741E5	2882.14179
0.81064	1.12609E5	2881.14179
0.80816	1.12476E5	2880.14179
0.80569	1.12345E5	2879.14179
0.80323	1.12213E5	2878.14179
0.80078	1.12082E5	2877.14179
0.79834	1.11952E5	2876.14179
0.79591	1.11821E5	2875.14179
0.79349	1.11692E5	2874.14179
0.79108	1.11562E5	2873.14179
0.78868	1.11433E5	2872.14179
0.78628	1.11305E5	2871.14179
0.78390	1.11177E5	2870.14179
0.78153	1.11049E5	2869.14179
0.77917	1.10922E5	2868.14179
0.77681	1.10795E5	2867.14179
0.77447	1.10668E5	2866.14179
0.77214	1.10542E5	2865.14179
0.76981	1.10416E5	2864.14179
0.76750	1.10290E5	2863.14179
0.76519	1.10165E5	2862.14179
0.76289	1.10041E5	2861.14179
0.76061	1.09916E5	2860.14179
0.75833	1.09792E5	2859.14179
0.75606	1.09669E5	2858.14179
0.75380	1.09546E5	2857.14179
0.75155	1.09423E5	2856.14179
0.74930	1.09300E5	2855.14179
0.74707	1.09178E5	2854.14179
0.74485	1.09057E5	2853.14179
0.74263	1.08935E5	2852.14179
0.74042	1.08814E5	2851.14179
0.73822	1.08693E5	2850.14179
0.73603	1.08573E5	2849.14179
0.73385	1.08453E5	2848.14179
0.73168	1.08333E5	2847.14179
0.72952	1.08214E5	2846.14179
0.72736	1.08095E5	2845.14179
0.72521	1.07977E5	2844.14179
0.72307	1.07858E5	2843.14179
0.72094	1.07741E5	2842.14179
0.71882	1.07623E5	2841.14179
0.71671	1.07506E5	2840.14179
0.71460	1.07389E5	2839.14179
0.71250	1.07272E5	2838.14179
0.71042	1.07156E5	2837.14179
0.70833	1.07040E5	2836.14179
0.70626	1.06925E5	2835.14179
0.70420	1.06809E5	2834.14179
0.70214	1.06694E5	2833.14179
0.70009	1.06580E5	2832.14179
0.69805	1.06465E5	2831.14179
0.69601	1.06351E5	2830.14179
0.69399	1.06238E5	2829.14179
0.69197	1.06124E5	2828.14179
0.68996	1.06011E5	2827.14179
0.68796	1.05899E5	2826.14179
0.68596	1.05786E5	2825.14179
0.68397	1.05674E5	2824.14179
0.68199	1.05562E5	2823.14179
0.68002	1.05451E5	2822.14179
0.67806	1.05340E5	2821.14179
0.67610	1.05229E5	2820.14179
0.67415	1.05118E5	2819.14179
0.67221	1.05008E5	2818.14179
0.67027	1.04898E5	2817.14179
0.66834	1.04788E5	2816.14179
0.66642	1.04679E5	2815.14179
0.66451	1.04570E5	2814.14179
0.66260	1.04461E5	2813.14179
0.66070	1.04352E5	2812.14179
0.65881	1.04244E5	2811.14179
0.65693	1.04136E5	2810.14179
0.65505	1.04029E5	2809.14179
0.65318	1.03921E5	2808.14179
0.65131	1.03814E5	2807.14179
0.64946	1.03707E5	2806.14179
0.64761	1.03601E5	2805.14179
0.64576	1.03495E5	2804.14179
0.64393	1.03389E5	2803.14179
0.64210	1.03283E5	2802.14179
0.64027	1.03177E5	2801.14179
0.63846	1.03072E5	2800.14179
0.63665	1.02967E5	2799.14179
0.63485	1.02863E5	2798.14179
0.63305	1.02758E5	2797.14179
0.63126	1.02654E5	2796.14179
0.62948	1.02550E5	2795.14179
0.62770	1.02447E5	2794.14179
0.62593	1.02343E5	2793.14179
0.62417	1.02240E5	2792.14179
0.62241	1.02138E5	2791.14179
0.62066	1.02035E5	2790.14179
0.61892	1.01933E5	2789.14179
0.61718	1.01831E5	2788.14179
0.61545	1.01729E5	2787.14179
0.61372	1.01628E5	2786.14179
0.61200	1.01526E5	2785.14179
0.61029	1.01425E5	2784.14179
0.60858	1.01325E5	2783.14179
0.60688	1.01224E5	2782.14179
0.60519	1.01124E5	2781.14179
0.60350	1.01024E5	2780.14179
0.60182	1.00924E5	2779.14179
0.60014	1.00824E5	2778.14179
0.59847	1.00725E5	2777.14179
0.59681	1.00626E5	2776.14179
0.59515	1.00527E5	2775.14179
0.59350	1.00429E5	2774.14179
0.59185	1.00330E5	2773.14179
0.59021	1.00232E5	2772.14179
0.58858	1.00134E5	2771.14179
0.58695	1.00037E5	2770.14179
0.58533	99939.42461	2769.14179
0.58371	99842.25680	2768.14179
0.58210	99745.31882	2767.14179
0.58049	99648.60952	2766.14179
0.57889	99552.12777	2765.14179
0.57730	99455.87244	2764.14179
0.57571	99359.84241	2763.14179
0.57413	99264.03657	2762.14179
0.57255	99168.45381	2761.14179
0.57098	99073.09303	2760.14179
0.56941	98977.95314	2759.14179
0.56785	98883.03305	2758.14179
0.56629	98788.33167	2757.14179
0.56474	98693.84794	2756.14179
0.56320	98599.58079	2755.14179
0.56166	98505.52915	2754.14179
0.56012	98411.69198	2753.14179
0.55860	98318.06821	2752.14179
0.55707	98224.65682	2751.14179
0.55555	98131.45677	2750.14179
0.55404	98038.46701	2749.14179
0.55253	97945.68655	2748.14179
0.55103	97853.11434	2747.14179
0.54953	97760.74939	2746.14179
0.54804	97668.59069	2745.14179
0.54656	97576.63724	2744.14179
0.54507	97484.88804	2743.14179
0.54360	97393.34211	2742.14179
0.54213	97301.99848	2741.14179
0.54066	97210.85615	2740.14179
0.53920	97119.91416	2739.14179
0.53774	97029.17155	2738.14179
0.53629	96938.62737	2737.14179
0.53484	96848.28065	2736.14179
0.53340	96758.13044	2735.14179
0.53196	96668.17582	2734.14179
0.53053	96578.41584	2733.14179
0.52910	96488.84958	2732.14179
0.52768	96399.47610	2731.14179
0.52626	96310.29449	2730.14179
0.52485	96221.30383	2729.14179
0.52344	96132.50322	2728.14179
0.52204	96043.89175	2727.14179
0.52064	95955.46853	2726.14179
0.51925	95867.23265	2725.14179
0.51786	95779.18324	2724.14179
0.51647	95691.31942	2723.14179
0.51509	95603.64029	2722.14179
0.51372	95516.14500	2721.14179
0.51235	95428.83268	2720.14179
0.51098	95341.70245	2719.14179
0.50962	95254.75348	2718.14179
0.50826	95167.98490	2717.14179
0.50691	95081.39586	2716.14179
0.50556	94994.98554	2715.14179
0.50422	94908.75308	2714.14179
0.50288	94822.69765	2713.14179
0.50155	94736.81843	2712.14179
0.50022	94651.11460	2711.14179
0.49889	94565.58534	2710.14179
0.49757	94480.22983	2709.14179
0.49625	94395.04727	2708.14179
0.49494	94310.03685	2707.14179
0.49363	94225.19777	2706.14179
0.49233	94140.52924	2705.14179
0.49103	94056.03046	2704.14179
0.48973	93971.70066	2703.14179
0.48844	93887.53904	2702.14179
0.48715	93803.54485	2701.14179
0.48587	93719.71729	2700.14179
0.48459	93636.05560	2699.14179
0.48332	93552.55903	2698.14179
0.48204	93469.22681	2697.14179
0.48078	93386.05818	2696.14179
0.47952	93303.05240	2695.14179
0.47826	93220.20872	2694.14179
0.47700	93137.52640	2693.14179
0.47575	93055.00469	2692.14179
0.47451	92972.64287	2691.14179
0.47326	92890.44021	2690.14179
0.47203	92808.39598	2689.14179
0.47079	92726.50946	2688.14179
0.46956	92644.77994	2687.14179
0.46834	92563.20669	2686.14179
0.46711	92481.78902	2685.14179
0.46589	92400.52621	2684.14179
0.46468	92319.41756	2683.14179
0.46347	92238.46238	2682.14179
0.46226	92157.65998	2681.14179
0.46106	92077.00966	2680.14179
0.45986	91996.51074	2679.14179
0.45866	91916.16254	2678.14179
0.45747	91835.96438	2677.14179
0.45628	91755.91558	2676.14179
0.45510	91676.01548	2675.14179
0.45392	91596.26341	2674.14179
0.45274	91516.65870	2673.14179
0.45157	91437.20071	2672.14179
0.45040	91357.88876	2671.14179
0.44923	91278.72221	2670.14179
0.44807	91199.70041	2669.14179
