Mole fraction of liquid	Heat per mole [J]	Temperature [K]
1.00000	1.38383E5	3228.35241
0.99997	1.38378E5	3228.25679
0.99471	1.38105E5	3227.25679
0.98950	1.37835E5	3226.25679
0.98432	1.37566E5	3225.25679
0.97917	1.37299E5	3224.25679
0.97407	1.37034E5	3223.25679
0.96900	1.36771E5	3222.25679
0.96397	1.36509E5	3221.25679
0.95898	1.36249E5	3220.25679
0.95402	1.35990E5	3219.25679
0.94909	1.35734E5	3218.25679
0.94421	1.35478E5	3217.25679
0.93935	1.35225E5	3216.25679
0.93453	1.34973E5	3215.25679
0.92975	1.34722E5	3214.25679
0.92500	1.34474E5	3213.25679
0.92028	1.34226E5	3212.25679
0.91560	1.33980E5	3211.25679
0.91095	1.33736E5	3210.25679
0.90633	1.33493E5	3209.25679
0.90175	1.33252E5	3208.25679
0.89720	1.33012E5	3207.25679
0.89267	1.32774E5	3206.25679
0.88819	1.32537E5	3205.25679
0.88373	1.32302E5	3204.25679
0.87930	1.32067E5	3203.25679
0.87490	1.31835E5	3202.25679
0.87054	1.31604E5	3201.25679
0.86620	1.31374E5	3200.25679
0.86190	1.31145E5	3199.25679
0.85762	1.30918E5	3198.25679
0.85338	1.30692E5	3197.25679
0.84916	1.30468E5	3196.25679
0.84497	1.30245E5	3195.25679
0.84081	1.30023E5	3194.25679
0.83668	1.29802E5	3193.25679
0.83258	1.29583E5	3192.25679
0.82850	1.29365E5	3191.25679
0.82445	1.29148E5	3190.25679
0.82043	1.28933E5	3189.25679
0.81644	1.28719E5	3188.25679
0.81247	1.28506E5	3187.25679
0.80853	1.28294E5	3186.25679
0.80462	1.28083E5	3185.25679
0.80073	1.27874E5	3184.25679
0.79687	1.27666E5	3183.25679
0.79304	1.27459E5	3182.25679
0.78923	1.27253E5	3181.25679
0.78544	1.27048E5	3180.25679
0.78168	1.26845E5	3179.25679
0.77795	1.26642E5	3178.25679
0.77424	1.26441E5	3177.25679
0.77055	1.26241E5	3176.25679
0.76689	1.26042E5	3175.25679
0.76325	1.25844E5	3174.25679
0.75964	1.25647E5	3173.25679
0.75605	1.25451E5	3172.25679
0.75249	1.25256E5	3171.25679
0.74894	1.25063E5	3170.25679
0.74542	1.24870E5	3169.25679
0.74193	1.24678E5	3168.25679
0.73845	1.24488E5	3167.25679
0.73500	1.24298E5	3166.25679
0.73157	1.24110E5	3165.25679
0.72816	1.23922E5	3164.25679
0.72478	1.23735E5	3163.25679
0.72141	1.23550E5	3162.25679
0.71807	1.23365E5	3161.25679
0.71475	1.23182E5	3160.25679
0.71145	1.22999E5	3159.25679
0.70817	1.22817E5	3158.25679
0.70491	1.22636E5	3157.25679
0.70167	1.22457E5	3156.25679
0.69846	1.22278E5	3155.25679
0.69526	1.22100E5	3154.25679
0.69208	1.21923E5	3153.25679
0.68893	1.21746E5	3152.25679
0.68579	1.21571E5	3151.25679
0.68267	1.21397E5	3150.25679
0.67958	1.21223E5	3149.25679
0.67650	1.21051E5	3148.25679
0.67344	1.20879E5	3147.25679
0.67040	1.20708E5	3146.25679
0.66738	1.20538E5	3145.25679
0.66438	1.20369E5	3144.25679
0.66139	1.20200E5	3143.25679
0.65843	1.20033E5	3142.25679
0.65548	1.19866E5	3141.25679
0.65255	1.19700E5	3140.25679
0.64964	1.19535E5	3139.25679
0.64675	1.19371E5	3138.25679
0.64387	1.19208E5	3137.25679
0.64102	1.19045E5	3136.25679
0.63818	1.18883E5	3135.25679
0.63535	1.18722E5	3134.25679
0.63255	1.18562E5	3133.25679
0.62976	1.18402E5	3132.25679
0.62699	1.18243E5	3131.25679
0.62423	1.18085E5	3130.25679
0.62149	1.17928E5	3129.25679
0.61877	1.17772E5	3128.25679
0.61607	1.17616E5	3127.25679
0.61338	1.17461E5	3126.25679
0.61070	1.17306E5	3125.25679
0.60805	1.17153E5	3124.25679
0.60541	1.17000E5	3123.25679
0.60278	1.16848E5	3122.25679
0.60017	1.16696E5	3121.25679
0.59758	1.16545E5	3120.25679
0.59500	1.16395E5	3119.25679
0.59243	1.16246E5	3118.25679
0.58988	1.16097E5	3117.25679
0.58735	1.15949E5	3116.25679
0.58483	1.15801E5	3115.25679
0.58233	1.15655E5	3114.25679
0.57984	1.15509E5	3113.25679
0.57736	1.15363E5	3112.25679
0.57490	1.15218E5	3111.25679
0.57246	1.15074E5	3110.25679
0.57003	1.14931E5	3109.25679
0.56761	1.14788E5	3108.25679
0.56521	1.14646E5	3107.25679
0.56282	1.14504E5	3106.25679
0.56044	1.14363E5	3105.25679
0.55808	1.14223E5	3104.25679
0.55573	1.14083E5	3103.25679
0.55340	1.13944E5	3102.25679
0.55107	1.13805E5	3101.25679
0.54877	1.13667E5	3100.25679
0.54647	1.13530E5	3099.25679
0.54419	1.13393E5	3098.25679
0.54192	1.13257E5	3097.25679
0.53966	1.13122E5	3096.25679
0.53742	1.12986E5	3095.25679
0.53519	1.12852E5	3094.25679
0.53297	1.12718E5	3093.25679
0.53077	1.12585E5	3092.25679
0.52858	1.12452E5	3091.25679
0.52640	1.12320E5	3090.25679
0.52423	1.12188E5	3089.25679
0.52207	1.12057E5	3088.25679
0.51993	1.11926E5	3087.25679
0.51780	1.11796E5	3086.25679
0.51568	1.11667E5	3085.25679
0.51357	1.11538E5	3084.25679
0.51147	1.11409E5	3083.25679
0.50939	1.11281E5	3082.25679
0.50731	1.11154E5	3081.25679
0.50525	1.11027E5	3080.25679
0.50320	1.10901E5	3079.25679
0.50116	1.10775E5	3078.25679
0.49914	1.10649E5	3077.25679
0.49712	1.10524E5	3076.25679
0.49511	1.10400E5	3075.25679
0.49312	1.10276E5	3074.25679
0.49114	1.10153E5	3073.25679
0.48916	1.10030E5	3072.25679
0.48720	1.09907E5	3071.25679
0.48525	1.09785E5	3070.25679
0.48331	1.09664E5	3069.25679
0.48138	1.09543E5	3068.25679
0.47946	1.09422E5	3067.25679
0.47755	1.09302E5	3066.25679
0.47565	1.09182E5	3065.25679
0.47376	1.09063E5	3064.25679
0.47189	1.08944E5	3063.25679
0.47002	1.08826E5	3062.25679
0.46816	1.08708E5	3061.25679
0.46631	1.08591E5	3060.25679
0.46447	1.08474E5	3059.25679
0.46264	1.08357E5	3058.25679
0.46083	1.08241E5	3057.25679
0.45902	1.08125E5	3056.25679
0.45722	1.08010E5	3055.25679
0.45543	1.07895E5	3054.25679
0.45365	1.07781E5	3053.25679
0.45188	1.07667E5	3052.25679
0.45011	1.07553E5	3051.25679
0.44836	1.07440E5	3050.25679
0.44662	1.07327E5	3049.25679
0.44488	1.07215E5	3048.25679
0.44316	1.07103E5	3047.25679
0.44144	1.06992E5	3046.25679
0.43974	1.06880E5	3045.25679
0.43804	1.06770E5	3044.25679
0.43635	1.06659E5	3043.25679
0.43467	1.06549E5	3042.25679
0.43300	1.06440E5	3041.25679
0.43134	1.06331E5	3040.25679
0.42968	1.06222E5	3039.25679
0.42804	1.06113E5	3038.25679
0.42640	1.06005E5	3037.25679
0.42477	1.05898E5	3036.25679
0.42315	1.05790E5	3035.25679
0.42154	1.05684E5	3034.25679
0.41994	1.05577E5	3033.25679
0.41834	1.05471E5	3032.25679
0.41675	1.05365E5	3031.25679
0.41517	1.05259E5	3030.25679
0.41360	1.05154E5	3029.25679
0.41204	1.05050E5	3028.25679
0.41048	1.04945E5	3027.25679
0.40894	1.04841E5	3026.25679
0.40740	1.04737E5	3025.25679
0.40587	1.04634E5	3024.25679
0.40434	1.04531E5	3023.25679
0.40283	1.04428E5	3022.25679
0.40132	1.04326E5	3021.25679
0.39982	1.04224E5	3020.25679
0.39832	1.04122E5	3019.25679
0.39684	1.04021E5	3018.25679
0.39536	1.03920E5	3017.25679
0.39389	1.03819E5	3016.25679
0.39242	1.03719E5	3015.25679
0.39097	1.03619E5	3014.25679
0.38952	1.03519E5	3013.25679
0.38808	1.03420E5	3012.25679
0.38664	1.03321E5	3011.25679
0.38521	1.03222E5	3010.25679
0.38379	1.03123E5	3009.25679
0.38238	1.03025E5	3008.25679
0.38097	1.02927E5	3007.25679
0.37957	1.02830E5	3006.25679
0.37818	1.02733E5	3005.25679
0.37680	1.02636E5	3004.25679
0.37542	1.02539E5	3003.25679
0.37404	1.02443E5	3002.25679
0.37268	1.02347E5	3001.25679
0.37132	1.02251E5	3000.25679
0.36997	1.02155E5	2999.25679
0.36862	1.02060E5	2998.25679
0.36728	1.01965E5	2997.25679
0.36595	1.01871E5	2996.25679
0.36462	1.01777E5	2995.25679
0.36330	1.01682E5	2994.25679
0.36199	1.01589E5	2993.25679
0.36068	1.01495E5	2992.25679
0.35938	1.01402E5	2991.25679
0.35809	1.01309E5	2990.25679
0.35680	1.01217E5	2989.25679
0.35552	1.01124E5	2988.25679
0.35424	1.01032E5	2987.25679
0.35297	1.00940E5	2986.25679
0.35171	1.00849E5	2985.25679
0.35045	1.00757E5	2984.25679
0.34920	1.00666E5	2983.25679
0.34795	1.00576E5	2982.25679
0.34671	1.00485E5	2981.25679
0.34548	1.00395E5	2980.25679
0.34425	1.00305E5	2979.25679
0.34303	1.00215E5	2978.25679
0.34181	1.00126E5	2977.25679
0.34060	1.00036E5	2976.25679
0.33939	99947.42868	2975.25679
0.33820	99858.69693	2974.25679
0.33700	99770.21255	2973.25679
0.33581	99681.97399	2972.25679
0.33463	99593.97971	2971.25679
0.33345	99506.22820	2970.25679
0.33228	99418.71795	2969.25679
0.33111	99331.44745	2968.25679
0.32995	99244.41522	2967.25679
0.32880	99157.61978	2966.25679
0.32765	99071.05967	2965.25679
0.32650	98984.73345	2964.25679
0.32536	98898.63965	2963.25679
0.32423	98812.77686	2962.25679
0.32310	98727.14366	2961.25679
0.32198	98641.73863	2960.25679
0.32086	98556.56038	2959.25679
0.31974	98471.60752	2958.25679
0.31864	98386.87867	2957.25679
0.31753	98302.37246	2956.25679
0.31643	98218.08754	2955.25679
0.31534	98134.02256	2954.25679
0.31425	98050.17619	2953.25679
0.31317	97966.54710	2952.25679
0.31209	97883.13397	2951.25679
0.31102	97799.93549	2950.25679
0.30995	97716.95037	2949.25679
0.30888	97634.17733	2948.25679
0.30783	97551.61508	2947.25679
0.30677	97469.26236	2946.25679
0.30572	97387.11791	2945.25679
0.30468	97305.18048	2944.25679
0.30364	97223.44882	2943.25679
0.30260	97141.92172	2942.25679
0.30157	97060.59794	2941.25679
0.30054	96979.47628	2940.25679
0.29952	96898.55554	2939.25679
0.29851	96817.83450	2938.25679
0.29749	96737.31201	2937.25679
0.29649	96656.98686	2936.25679
0.29548	96576.85790	2935.25679
0.29448	96496.92397	2934.25679
0.29349	96417.18392	2933.25679
0.29250	96337.63659	2932.25679
0.29151	96258.28087	2931.25679
0.29053	96179.11561	2930.25679
0.28955	96100.13971	2929.25679
0.28858	96021.35206	2928.25679
0.28761	95942.75154	2927.25679
0.28665	95864.33708	2926.25679
0.28569	95786.10757	2925.25679
0.28473	95708.06195	2924.25679
0.28378	95630.19915	2923.25679
0.28283	95552.51809	2922.25679
0.28189	95475.01773	2921.25679
0.28095	95397.69703	2920.25679
0.28001	95320.55493	2919.25679
0.27908	95243.59041	2918.25679
0.27816	95166.80244	2917.25679
0.27723	95090.19001	2916.25679
0.27631	95013.75211	2915.25679
0.27540	94937.48772	2914.25679
0.27449	94861.39587	2913.25679
0.27358	94785.47555	2912.25679
0.27268	94709.72579	2911.25679
0.27178	94634.14562	2910.25679
0.27088	94558.73406	2909.25679
0.26999	94483.49015	2908.25679
0.26910	94408.41294	2907.25679
0.26822	94333.50149	2906.25679
0.26734	94258.75484	2905.25679
0.26646	94184.17208	2904.25679
0.26559	94109.75227	2903.25679
0.26472	94035.49449	2902.25679
0.26385	93961.39782	2901.25679
0.26299	93887.46137	2900.25679
0.26213	93813.68422	2899.25679
0.26128	93740.06548	2898.25679
0.26043	93666.60427	2897.25679
0.25958	93593.29970	2896.25679
0.25873	93520.15089	2895.25679
0.25789	93447.15698	2894.25679
0.25706	93374.31710	2893.25679
0.25622	93301.63039	2892.25679
0.25539	93229.09599	2891.25679
0.25457	93156.71307	2890.25679
0.25374	93084.48079	2889.25679
0.25292	93012.39830	2888.25679
0.25211	92940.46478	2887.25679
0.25130	92868.67941	2886.25679
0.25049	92797.04136	2885.25679
0.24968	92725.54983	2884.25679
0.24888	92654.20401	2883.25679
0.24808	92583.00311	2882.25679
0.24728	92511.94631	2881.25679
0.24649	92441.03284	2880.25679
0.24570	92370.26191	2879.25679
0.24491	92299.63275	2878.25679
0.24413	92229.14457	2877.25679
0.24335	92158.79661	2876.25679
0.24257	92088.58810	2875.25679
0.24180	92018.51830	2874.25679
0.24103	91948.58644	2873.25679
0.24026	91878.79178	2872.25679
0.23950	91809.13358	2871.25679
0.23874	91739.61109	2870.25679
0.23798	91670.22359	2869.25679
0.23722	91600.97035	2868.25679
0.23647	91531.85064	2867.25679
0.23572	91462.86375	2866.25679
0.23498	91394.00896	2865.25679
0.23424	91325.28558	2864.25679
0.23350	91256.69288	2863.25679
0.23276	91188.23018	2862.25679
0.23203	91119.89678	2861.25679
0.23129	91051.69199	2860.25679
0.23057	90983.61513	2859.25679
0.22984	90915.66551	2858.25679
0.22912	90847.84247	2857.25679
0.22840	90780.14532	2856.25679
0.22768	90712.57341	2855.25679
0.22697	90645.12607	2854.25679
0.22626	90577.80264	2853.25679
0.22555	90510.60248	2852.25679
0.22485	90443.52492	2851.25679
